"filename", "language", "JSON", "C#", "ASP.NET Razor", "CSS", "Markdown", "XML", "SQL", "comment", "blank", "total"
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Static\Messages.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\WeatherForecast.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\appsettings.Development.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\appsettings.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\App.razor", "ASP.NET Razor", 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\BookStoreApp.Blazor.Server.UI.csproj", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Configurations\MapperConfig.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Authors\Create.razor", "ASP.NET Razor", 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Authors\Details.razor", "ASP.NET Razor", 0, 0, 74, 0, 0, 0, 0, 0, 8, 82
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Authors\Index.razor", "ASP.NET Razor", 0, 0, 76, 0, 0, 0, 0, 0, 9, 85
